codigo;ente;plataforma;usuario;url;estado;seguidores;seguidores_exacto;publicaciones_historico;publicaciones_ultimo_mes;ultima_publicacion;likes_recientes;publicaciones_muestra;publicacion_destacada_titulo;publicacion_destacada_likes;fecha_medicion
ECO-04;I.V.T;Facebook;/ivtgbt;https://facebook.com/ivtgbt;sin publicaciones;22;si;no disponible;0;no disponible;no disponible;0;no disponible;no disponible;2026-09-01
ECO-05;CORPOTACHIRA;X;@corpotachira;https://x.com/corpotachira;inactiva;108;si;409;0;2022-11-02;3;6;Cuadrillas de Corpotáchira bajo lineamientos del gobernador;2;2026-09-01
ECO-06;CORPOINTA;Instagram;@corpointa.gobtachira;https://instagram.com/corpointa.gobtachira;activa;2957;si;812;6;2026-08-29;98;10;Mantenimiento de la vía clave de la Alta Montaña;23;2026-09-01
ECO-07;COTATUR;Instagram;@cotaturve;https://instagram.com/cotaturve;activa;29469;si;1180;11;2026-08-27;11901;10;Devoción al Santo Cristo de La Grita;5659;2026-09-01
ECO-08;COIMTA;Instagram;@coimtaoficial;https://instagram.com/coimtaoficial;activa;2424;si;578;11;2026-08-29;116;10;Despliegue operativo minero en el municipio Lobatera;36;2026-09-01
ECO-11;SEDEBAT;Instagram;@sedebat_;https://instagram.com/sedebat_;activa;7057;si;2505;9;2026-08-24;264;10;Única taquilla presencial a partir del 31 de agosto;65;2026-09-01
ECO-11;SEDEBAT;X;@Sedebat_;https://x.com/Sedebat_;inactiva;4076;si;19.9K;0;2025-01-01;3;5;Felicitación al Superintendente Bermúdez por su certificación;2;2026-09-01
SOC-13;CORPOSALUD;Instagram;@corposalud_tachira;https://instagram.com/corposalud_tachira;activa;32686;si;6823;9;2026-08-31;471;10;Orientación sobre a qué servicio de salud acudir;281;2026-09-01
SOC-15;INTAMUJER;Instagram;@intamujer;https://instagram.com/intamujer;no existe;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;2026-09-01
SOC-15;INTAMUJER;X;@INTAMUJERTACH;https://x.com/INTAMUJERTACH;inactiva;22;si;31;0;2022-04-21;0;5;Anuncio del programa Reporte Bernal del 22 de abril;0;2026-09-01
SOC-16;INTAVI;Instagram;@intavienlinea;https://instagram.com/intavienlinea;activa;8085;si;741;20;2026-08-31;268;10;Visita de la ministra de Hábitat y Vivienda al Táchira;147;2026-09-01
SOC-17;Fundación de la Familia Tachirense;Instagram;@famitachirense;https://instagram.com/famitachirense;activa;29674;si;1952;35;2026-08-31;4152;10;Jornada 218 en el municipio Bolívar y la historia de una beneficiaria;986;2026-09-01
SOC-17;Fundación de la Familia Tachirense;X;@famitachirense;https://x.com/famitachirense;inactiva;134;si;3;0;2022-03-27;13;3;Mensaje institucional de presentación de la Fundación;10;2026-09-01
SOC-18;FUNDES;Instagram;@fundes.tachira;https://instagram.com/fundes.tachira;activa;2294;si;620;3;2026-08-21;587;10;Taller de chocolatería para jóvenes con discapacidad auditiva;223;2026-09-01
EDU-02;Dirección de Educación;Instagram;@diredutachira;https://instagram.com/diredutachira;no existe;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;no disponible;2026-09-01
EDU-02;Dirección de Educación;X;@DirEduTachira;https://x.com/DirEduTachira;inactiva;2737;si;6669;0;2024-06-03;7;8;Invitación a la Consulta Popular Nacional del 21 de abril de 2024;3;2026-09-01
EDU-03;Dirección de Cultura del Estado Táchira;Facebook;/direcciondeculturadelestadotachira;https://facebook.com/direcciondeculturadelestadotachira;activa;31 mil;no;no disponible;no disponible;2026-09-01;83;6;Efeméride del Museo de Ciencias de Caracas declarado Monumento Histórico;27;2026-09-01
EDU-04;INTEDUCA;Instagram;@inteduca_tachira;https://instagram.com/inteduca_tachira;inactiva;1382;si;1158;0;2026-03-08;56;10;Mensaje navideño del presidente de Inteduca;15;2026-09-01
EDU-05;I.D.T (Instituto del Deporte Tachirense);Instagram;@idtachirense;https://instagram.com/idtachirense;inactiva;2997;si;744;0;2021-10-28;391;10;Sub-14 femenino de baloncesto clasifica al nacional Súper 8;51;2026-09-01
